year,population
1950,37894.671
1951,38706.399
1952,39489.861
1953,40292.411
1954,41149.83
1955,42086.305
1956,43113.922
1957,44233.217
1958,45434.542
1959,46700.569
1960,48013.505
1961,49362.834
1962,50752.15
1963,52202.008
1964,53741.721
1965,55385.114
1966,57157.651
1967,59034.25
1968,60918.452
1969,62679.765
1970,64232.486
1971,65531.635
1972,66625.706
1973,67637.541
1974,68742.222
1975,70066.31
1976,71652.386
1977,73463.593
1978,75450.033
1979,77529.04
1980,79639.498
1981,81767.516
1982,83932.132
1983,86142.49
1984,88416.529
1985,90764.18
1986,93187.593
1987,95671.159
1988,98186.35
1989,100695.496
1990,103171.957
1991,105599.125
1992,107983.708
1993,110350.641
1994,112737.684
1995,115169.933
1996,117649.927
1997,120160.571
1998,122682.818
1999,125189.655
2000,127657.862
2001,130088.709
2002,132478.077
2003,134791.598
2004,136986.429
2005,139035.505
2006,140921.154
2007,142660.381
2008,144304.164
2009,145924.795
2010,147575.433
2011,149273.134
2012,151005.733
2013,152761.413
2014,154517.385
2015,156256.287
2016,157977.151
2017,159685.421
2018,161376.713
2019,163046.173
2020,164689.383
2021,166303.494
2022,167885.68
2023,169431.797
2024,170937.444
2025,172399.074
2026,173813.766
2027,175180.164
2028,176498.329
2029,177769.4
2030,178993.87
2031,180171.132
2032,181299.543
2033,182377.419
2034,183402.763
2035,184374.132
2036,185290.677
2037,186152.469
2038,186960.086
2039,187714.581
2040,188416.728
2041,189066.449
2042,189663.457
2043,190208.136
2044,190700.981
2045,191142.277
2046,191532.352
2047,191871.025
2048,192157.306
2049,192389.849
2050,192567.779
2051,192690.991
2052,192760.025
2053,192775.45
2054,192738.073
2055,192648.702
2056,192507.883
2057,192316.133
2058,192074.156
2059,191782.759
2060,191442.78
2061,191055.075
2062,190620.637
2063,190140.66
2064,189616.468
2065,189049.339
2066,188440.359
2067,187790.621
2068,187101.493
2069,186374.39
2070,185610.648
2071,184811.534
2072,183978.099
2073,183111.361
2074,182212.228
2075,181281.711
2076,180320.909
2077,179331.03
2078,178313.248
2079,177268.761
2080,176198.774
2081,175104.554
2082,173987.283
2083,172847.911
2084,171687.35
2085,170506.629
2086,169306.903
2087,168089.627
2088,166856.595
2089,165609.782
2090,164351.024
2091,163081.808
2092,161803.423
2093,160517.002
2094,159223.639
2095,157924.517
2096,156620.931
2097,155314.327
2098,154006.298
2099,152698.574
2100,151393.018
2020,164689.383
2021,166539.068
2022,168427.91
2023,170340.006
2024,172262.258
2025,174184.337
2026,176098.845
2027,178001.129
2028,179889.001
2029,181762.06
2030,183619.914
2031,185460.237
2032,187277.033
2033,189059.976
2034,190796.423
2035,192477.453
2036,194098.676
2037,195662.377
2038,197174.962
2039,198646.54
2040,200085.063
2041,201491.927
2042,202866.411
2043,204211.927
2044,205532.186
2045,206829.887
2046,208106.751
2047,209362.84
2048,210596.906
2049,211806.649
2050,212990.168
2051,214147.249
2052,215277.863
2053,216380.349
2054,217452.666
2055,218493.197
2056,219501.423
2057,220477.142
2058,221419.47
2059,222327.571
2060,223200.992
2061,224039.724
2062,224844.342
2063,225615.83
2064,226355.555
2065,227064.937
2066,227744.787
2067,228396.21
2068,229021.356
2069,229622.732
2070,230202.521
2071,230762.248
2072,231302.977
2073,231826.124
2074,232333.03
2075,232824.965
2076,233303.059
2077,233768.45
2078,234222.262
2079,234665.597
2080,235099.438
2081,235524.833
2082,235942.462
2083,236352.492
2084,236754.729
2085,237149.295
2086,237536.677
2087,237917.791
2088,238293.687
